institucion,acreditacion_institucion,carrera,porcentaje_titulados_continuidad,retencion_primer_ano,duracion_real_semestres,empleabilidad_primer_ano,empleabilidad_segundo_ano,ingreso_promedio_cuarto_ano
IP DUOC UC,7 años,Actuación,4.7,80.2,9.6,19.4,27.6,
IP DUOC UC,7 años,Ingeniería en Administración,2.9,70.7,12.4,71.7,76.4,
IP DUOC UC,7 años,Gastronomía Internacional,2.9,83.2,9.6,46.6,55.0,
IP DUOC UC,7 años,"Turismo y Hotelería, Ecoturismo y Tourism and Hospitality",2.3,80.5,9.7,44.0,54.7,
IP DUOC UC,7 años,Animación Digital,2.8,84.7,10.7,38.0,47.6,
IP DUOC UC,7 años,Comunicación Audiovisual,2.5,84.6,9.5,47.5,56.2,
IP DUOC UC,7 años,Auditoría,1.9,82.4,9.6,80.3,84.7,
IP DUOC UC,7 años,Diseño de Ambientes,2.1,77.9,9.7,44.1,53.0,
IP DUOC UC,7 años,Diseño de Vestuario,3.1,88.1,9.5,34.3,45.0,
IP DUOC UC,7 años,Diseño Gráfico,1.5,80.5,9.4,42.5,56.7,
IP DUOC UC,7 años,Diseño Industrial,2.5,78.8,9.5,47.7,61.9,
IP DUOC UC,7 años,Ingeniería Agrícola,3.8,79.3,10.3,56.7,63.2,
IP DUOC UC,7 años,Ingeniería en Comercio Exterior,2.1,83.2,9.6,76.6,80.9,
IP DUOC UC,7 años,"Ingeniería en Informática, en Infraestructura y Plataformas Tecnológicas",0.6,81.8,10.1,78.3,89.9,
IP DUOC UC,7 años,Ingeniería en Conectividad y Redes,1.1,85.4,9.8,81.4,88.7,
IP DUOC UC,7 años,Ingeniería en Construcción,1.9,72.7,10.3,66.0,72.6,
IP DUOC UC,7 años,"Ingeniería en Electricidad y Automatización Industrial, y Electrónica",2.0,81.2,10.3,84.2,89.4,
IP DUOC UC,7 años,Ingeniería en Administración mención Finanzas,3.3,80.9,9.2,65.4,,
IP DUOC UC,7 años,Ingeniería en Gestión Logística,1.7,82.6,9.4,77.1,83.3,
IP DUOC UC,7 años,Ingeniería en Marketing y Administración mención Marketing,2.0,79.6,9.4,60.5,71.6,
IP DUOC UC,7 años,"Ingeniería en Mecánica Automotriz y Autotrónica, e Ingeniería en Maquinarias y Vehículos Pesados",2.2,81.5,10.0,77.2,81.1,
IP DUOC UC,7 años,Ingeniería en Medio Ambiente,2.3,84.3,10.0,57.3,73.2,
IP DUOC UC,7 años,Ingeniería en Prevención de Riesgos,1.2,77.8,10.0,68.8,76.9,
IP DUOC UC,7 años,Ingeniería en Administración de Recursos Humanos y Gestión de Personas,2.0,83.6,9.5,71.1,77.2,
IP DUOC UC,7 años,Ingeniería en Sonido,4.2,83.4,10.0,39.8,52.4,
IP DUOC UC,7 años,Publicidad,1.2,84.3,9.4,55.7,65.8,
IP DUOC UC,7 años,Relaciones Públicas,2.3,82.9,9.3,46.0,61.8,
IP DUOC UC,7 años,Técnico Agrícola,11.9,67.1,8.3,50.9,60.3,
IP DUOC UC,7 años,Técnico en Odontología,4.3,75.8,5.6,60.7,64.5,
IP DUOC UC,7 años,Técnico en Administración y Administración de Empresas,29.1,72.6,5.5,43.0,58.0,
IP DUOC UC,7 años,Técnico en Administración de Recursos Humanos y en Gestión de Personas,30.8,,6.2,60.9,72.2,
IP DUOC UC,7 años,Técnico en Administración de Redes Computacionales,11.7,,,76.9,76.7,
